1928,3151,1647,1375,2188,1834,1013,683,1590,1933,3263,7,56
840,1309,3240,915,509,207,257,2585,1235,2495,3223,199,3124
2393,3381,1455,2689,582,3182,2192,3263,3097,634,1874,65,2804
850,1878,2196,743,2481,3118,1698,528,71,3208,3001,1234,284
2495,629,646,17,3422,3465,2898,3068,2273,3130,2456,770,1955
1675,2039,2415,30,2773,455,1238,795,955,1919,2851,3210,2627
3316,1208,2546,1705,1888,494,1095,90,701,2754,2815,56,262
113,3235,193,2943,69,2427,137,3413,599,2289,1620,2999,172
2835,2127,2909,2236,69,2049,1460,2317,1476,2624,2422,2555,1986
295,1758,1313,1197,2777,2000,879,1454,1614,2616,312,3245,2947
2166,1101,1189,1894,1630,2039,3200,2087,184,3065,208,857,278
770,3089,3373,717,1827,2222,730,1497,1781,1324,516,958,919
479,270,2358,1315,3432,546,2208,1151,3490,1847,2761,1050,2980
