14853,399,25051,24230,40228,30136,10310,16599,5325,9344,5607
25822,17496,29757,34726,25362,29753,15060,20983,28181,6975,30705
30882,18572,15968,32778,19935,30725,42898,22444,40303,31010,31404
2,40400,12300,32186,39015,12306,21399,34980,41281,23630,9764
6586,22620,16458,18294,4105,32622,42167,28878,40557,13496,37160
23811,10877,4127,1046,23890,44622,5294,35380,7251,12825,5738
42866,13521,15139,31465,28798,16917,34761,7194,18646,7253,27696
24378,42888,44675,34577,9563,42578,12111,37590,35173,21709,9060
17087,16972,20099,41358,12090,18578,23412,8979,26210,23383,9914
12779,30462,18176,1751,21309,17116,541,6861,20485,43930,23874
16095,26948,26136,19450,38778,35404,34057,44541,13737,31104,32536
