2232203,2672355,2058849,1847674,2127731,2336732,1966884,2166148,2546963,2288835,1985450,2260491,2588947,2212105,1677456,2369747,2636506,1882959,1958335,2334616,2074216,2263084,1804898,2174064,1895873,2525585
1749330,2297493,1483136,1785668,1931535,1836502,1820951,1731283,2198959,2036158,1724642,2135740,2170965,1637869,1852793,1980125,2196975,1501652,1457265,2144357,1965614,1983183,1543226,1808624,1507928,1893894
1859562,2158890,1431483,1701609,1713454,1657213,1627731,1843432,2074592,1946219,1734861,1971801,2019596,1707563,1719376,1951128,1868187,1446475,1654551,1959444,1831529,1974848,1619753,1796515,1539092,1679190
2698962,3240294,2243322,2461907,2694150,2263240,2460992,2785753,3126293,2890904,2647552,2756876,3104011,2269572,2446519,2975499,2979178,2323292,2547971,2780587,2370612,2895453,2420020,2745441,2159349,2750536
2591802,2990145,2358180,2044526,2540204,2159688,2257584,2614326,2915931,2672228,2367426,2441781,2842801,2191752,2397701,2696987,2761764,2116276,2243772,2466239,2384030,2818662,2116688,2328681,2437218,2456977
1848119,2261650,1499794,1760901,1794556,1420700,1712381,2108411,2220315,1955804,1949962,2031916,2155481,1447325,1865803,2154034,1973842,1581298,1997082,1888441,1791444,2153350,1946318,1961198,1601513,1774642
1825418,2363260,1606710,1691473,1981759,1485199,1768606,2209919,2297196,2007703,1990738,1941255,2263257,1564187,1773393,2199768,2140059,1739260,1870534,1860881,1663848,2139146,1982118,1989155,1582065,1995594
2510660,2937499,2031927,2294333,2417250,2068554,2339562,2398857,2835034,2656930,2485353,2546707,2825504,1856240,2258653,2717617,2788503,2064732,2355078,2606497,2249484,2691576,2119335,2424066,1960099,2493270
2475470,2709620,1823171,2063867,2190696,2081769,2081383,2220784,2648396,2421438,2213969,2331531,2614287,1835454,1873503,2634896,2550422,1918158,2379117,2193072,1941152,2425114,2278362,2099401,1821746,2252259
2049306,2186338,1523316,1760555,1827500,1896724,1509301,1698566,2093581,1963893,1918719,2061846,2074843,1645713,1806549,2141123,2068654,1256713,1879915,2034766,1771291,2033673,1697093,1874605,1409518,1852856
1614274,1869538,1501332,1213849,1723808,1616032,1413356,1421962,1813168,1584128,1605626,1532945,1792585,1514388,1487770,1753432,1777568,1147172,1461827,1585721,1595550,1709262,1326041,1435216,1561434,1597207
2450533,2732777,2131547,2120069,2198307,2257546,2172744,2233902,2697144,2417986,2208926,2363366,2659788,2129989,1914626,2492046,2657212,1828317,2300734,2193815,2067790,2480539,2167428,2138974,2028113,2424224
1866101,2260828,1698442,1527790,1738114,1755082,1668304,1970113,2177250,1990145,1577975,1902345,2154962,1584538,1547253,1951133,2222539,1684432,1501214,1919865,1748881,2026123,1544249,1650944,1647721,1966809
